match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,skill,average_rank,leaver_status,party_size
7315003851,129,True,3352,22,7,35,1693625827,,12,10,21,,43.0,0,2.0
7314979360,131,True,1246,22,7,36,1693624078,,4,3,2,,43.0,0,2.0
7314947900,130,False,1969,22,7,39,1693621790,,13,1,14,,41.0,0,2.0
7295981381,130,False,2489,22,7,37,1692618713,,11,7,30,,33.0,0,1.0
7295469023,1,False,2689,22,7,36,1692586720,,15,11,10,,41.0,0,1.0
7295432304,1,False,2716,22,7,104,1692583561,21.0,14,9,9,,34.0,0,1.0
7294125178,130,True,1927,22,7,101,1692528105,,6,6,5,,33.0,0,1.0
7294070543,131,True,1845,22,7,57,1692525931,,0,8,2,,33.0,0,1.0
7292661624,3,True,2338,22,0,85,1692457441,,3,6,22,,61.0,0,5.0
7292533439,3,False,2923,22,0,104,1692453809,,7,18,14,,61.0,0,5.0
7289761779,3,True,2137,22,7,104,1692326160,,8,8,19,,33.0,0,1.0
7289736779,129,True,1837,22,7,110,1692324015,,5,10,11,,33.0,0,1.0
7277539739,0,True,2352,22,7,13,1691598275,,18,4,11,,43.0,0,2.0
7273271481,3,False,2698,22,7,8,1691331517,,15,6,5,,43.0,0,2.0
7273172862,131,True,3163,22,7,128,1691327987,,15,10,13,,43.0,0,2.0
7268721717,128,False,3450,3,7,18,1691066314,,17,7,10,,41.0,0,2.0
7268667783,3,True,2186,3,7,41,1691063804,,15,5,5,,42.0,0,2.0
7266035192,0,True,2623,22,7,106,1690893658,,9,9,12,,54.0,0,2.0
7265932726,131,False,2144,22,7,128,1690888703,,20,2,11,,32.0,0,1.0
7250892537,132,True,2461,22,7,106,1689948859,,7,11,14,,52.0,0,5.0
7243743563,4,True,2391,22,7,98,1689484843,,9,6,16,,41.0,0,3.0
7243702759,4,True,2719,22,7,106,1689481805,,21,4,16,,,0,
7242836144,131,True,2196,22,7,98,1689429714,,2,7,16,,51.0,1,5.0
7242490140,4,True,1577,22,7,102,1689413255,,9,5,16,,51.0,0,5.0
7242445120,4,False,2125,3,7,8,1689410703,,7,5,3,,51.0,0,5.0
7239928113,3,False,2786,22,7,73,1689250606,,21,8,6,,42.0,0,3.0
7236128207,4,False,2955,22,7,98,1688997066,,3,7,10,,52.0,0,5.0
7233451237,131,False,1879,22,7,73,1688834602,,13,2,8,,33.0,0,1.0
7230667978,130,False,4043,22,7,8,1688662273,,12,10,6,,33.0,2,1.0
7225022221,3,False,2852,22,7,39,1688296915,,15,5,12,,34.0,0,1.0
7224950457,4,True,2067,22,7,21,1688293340,,24,3,13,,33.0,0,1.0
7223380328,132,False,2101,22,7,8,1688204148,,10,1,7,,,0,
7223329731,2,True,2538,22,7,1,1688201269,,14,8,5,,43.0,0,3.0
7222951878,1,True,2482,22,7,106,1688172009,,28,5,16,,31.0,0,1.0
7222465575,4,False,4160,3,7,75,1688141875,,14,10,15,,41.0,0,2.0
7222427688,1,True,1139,3,7,104,1688140373,,5,0,3,,42.0,0,2.0
7219624788,4,True,2221,22,7,98,1687962176,,11,4,11,,24.0,0,1.0
6709314458,131,True,1854,22,7,104,1660613085,,4,6,2,,31.0,0,1.0
6685403363,132,True,2545,22,7,36,1659223815,,6,9,14,,25.0,0,1.0
6685377958,130,True,1947,22,7,99,1659221566,,1,12,9,,31.0,0,1.0
6685338922,1,False,2512,22,7,98,1659218579,,2,10,9,,31.0,0,1.0
6684907601,128,False,2529,22,7,31,1659197340,,2,14,21,,41.0,0,2.0
6684828694,128,True,2061,22,7,5,1659194386,,5,13,21,,41.0,0,2.0
6684714288,0,False,3485,22,7,85,1659190370,,6,11,24,,35.0,0,2.0
6684636392,3,True,1947,22,7,30,1659187590,,7,7,13,,42.0,0,2.0
6683726065,2,True,1740,22,7,99,1659131252,,3,2,9,,31.0,0,1.0
6683677481,4,True,2512,22,7,36,1659128250,,12,7,19,,32.0,0,1.0
6683362089,130,False,1440,22,7,36,1659113013,,7,4,29,,31.0,0,1.0
6683287923,129,True,2573,22,7,29,1659110065,,16,8,15,,31.0,0,1.0
6683233293,128,True,1704,3,7,106,1659108008,,4,8,9,,41.0,0,2.0
6683142701,0,False,2296,22,7,98,1659104713,,3,13,14,,42.0,0,2.0
6683042251,132,True,2493,22,7,47,1659101004,,7,10,6,,32.0,0,1.0
6682966845,2,False,2524,22,7,36,1659097945,,9,12,18,,31.0,0,1.0
6628909386,129,True,2273,22,0,98,1655829535,,6,5,10,,,0,1.0
6628843344,4,False,2273,22,0,93,1655826724,,8,9,10,,,0,1.0
6625948936,128,False,3137,22,0,93,1655654332,,8,5,24,,,0,
6625868619,4,False,2523,22,0,102,1655651418,21.0,3,8,5,,,0,1.0
6625782141,132,False,2250,22,0,102,1655648582,,6,7,22,,,0,
6621632299,4,True,2344,22,0,64,1655429886,21.0,6,3,24,,,0,1.0
6621241189,131,False,2962,22,0,93,1655402223,,12,7,21,,,0,
6620964777,0,True,2421,22,7,98,1655390716,,5,3,15,,,0,
6620290275,1,True,2146,22,7,98,1655353634,,10,6,13,,,0,
6620261034,128,False,2129,22,7,81,1655351068,,5,8,11,,,0,
6620243509,130,False,1603,22,7,30,1655349139,,5,4,17,,,0,
6617760466,128,False,2118,22,7,81,1655211678,,9,1,10,,,0,1.0
6615359779,128,True,3585,22,7,81,1655075207,,7,8,8,,,0,2.0
6614604062,4,False,2501,22,7,98,1655043050,,5,8,12,,,0,1.0
6614505711,131,False,2016,22,7,98,1655040483,21.0,3,4,16,,,0,1.0
6613697935,0,True,1709,22,7,72,1655006935,,4,3,13,,,0,1.0
6613661220,3,False,2031,22,7,85,1655004368,,9,6,14,,,0,1.0
6612967547,3,True,2847,22,7,98,1654965010,,7,5,17,,,0,3.0
6608431322,132,True,3150,22,7,81,1654745613,,11,3,8,,,0,1.0
6608394945,2,False,2576,22,7,28,1654742174,,2,9,16,,,0,2.0
6608373263,2,True,1523,22,7,85,1654740152,,6,3,23,,,0,2.0
6608276382,0,True,2276,22,0,98,1654731017,,8,5,10,,,0,1.0
6608243184,2,True,2933,22,0,106,1654727612,,16,7,14,,,0,1.0
6608218672,0,True,1720,22,0,106,1654725490,,12,0,9,,,0,1.0
6607755635,128,True,2436,22,7,5,1654702454,,2,13,23,,,0,3.0
6606921633,131,True,3604,22,0,106,1654661490,,15,7,21,,,0,1.0
6606889843,0,True,2107,22,7,98,1654658711,,5,4,9,,,0,1.0
6605488336,130,False,2144,22,7,98,1654576999,,6,4,12,,,0,2.0
6605458386,128,False,2014,22,7,81,1654574251,,8,6,11,,,0,2.0
6602356452,1,False,2459,22,7,81,1654406513,,13,6,7,,,0,1.0
6601431229,0,False,2298,22,7,104,1654352942,,8,9,8,,,0,1.0
6601242871,2,True,2133,22,7,81,1654346137,,8,1,9,,,0,1.0
6600640033,1,False,2114,22,7,70,1654313104,,1,10,8,,,0,2.0
6600601135,132,False,2557,22,7,98,1654309999,,8,4,24,,,0,3.0
6600575334,4,True,1758,22,7,81,1654307825,,4,6,11,,,0,3.0
6600523181,0,True,2349,22,7,81,1654302571,,13,6,12,,,0,1.0
6600499946,4,True,1833,22,7,81,1654300066,21.0,10,2,9,,,0,1.0
6600470287,4,False,2886,22,7,81,1654296826,,12,13,16,,,0,1.0
6599879698,3,False,2599,22,7,36,1654267723,,8,8,21,,,0,1.0
6599789666,131,False,2554,22,7,36,1654264538,,14,8,14,,,0,1.0
6599099595,131,False,4246,22,7,81,1654225859,,18,9,14,,,0,1.0
6599060005,128,True,3099,22,7,81,1654222386,,8,10,8,,,0,1.0
6598583821,1,False,2661,22,7,104,1654189234,,5,11,17,,,0,2.0
6598499244,128,False,1683,22,7,81,1654185575,,8,2,12,,,0,1.0
6597203917,4,False,2255,22,7,81,1654104240,,4,14,16,,,0,1.0
6597140563,129,True,2485,22,7,29,1654101322,,5,7,12,,,0,1.0
6597072795,131,False,2432,22,7,104,1654098442,,6,7,19,,,0,1.0
6590284594,129,True,2551,22,7,104,1653721027,,12,11,8,,,0,1.0
6590224955,130,True,3055,22,7,36,1653717487,,15,9,22,,,0,1.0
6590185681,4,False,2214,22,7,104,1653714910,,17,10,12,,,0,1.0
6590154145,129,True,1802,22,7,27,1653712653,,1,13,4,,,0,1.0
6590119588,3,True,2240,22,7,104,1653709781,21.0,6,5,20,,,0,1.0
6590089541,129,False,1945,22,7,36,1653707446,,11,2,16,,,0,1.0
6588031688,129,False,2367,22,7,36,1653582525,,4,6,15,,,0,3.0
6587643268,129,True,2758,22,7,106,1653567923,,20,4,23,,,0,1.0
6587223975,132,True,2368,22,0,36,1653542163,21.0,6,15,8,,,0,1.0
6587194823,131,True,2175,22,7,87,1653539596,,2,8,12,,,0,2.0
6587163543,3,True,2491,22,7,98,1653536739,,7,8,19,,,0,2.0
6587137733,131,False,1918,22,7,36,1653534316,,14,6,14,,,0,2.0
6586419083,3,True,2181,22,0,106,1653489354,,24,3,16,,,0,1.0
6585683540,132,False,2667,22,7,106,1653445022,,22,1,31,,,0,1.0
6585661886,1,False,1887,22,7,106,1653442823,,7,4,13,,,0,1.0
6585567363,131,True,2640,22,7,27,1653432174,,4,10,25,,,0,1.0
6585534638,0,False,2217,22,7,106,1653429053,,10,6,12,,,0,1.0
6585406880,130,False,2241,22,7,106,1653420925,,13,2,17,,,0,1.0
6585335939,0,False,2895,22,7,106,1653417398,,20,6,15,,,0,1.0
6585257887,128,True,2771,22,7,104,1653413717,,6,12,12,,,0,2.0
6585166039,2,False,3216,22,7,5,1653409778,,10,12,29,,,0,2.0
6585116409,3,True,1404,22,7,5,1653407801,,9,1,22,,,0,2.0
6573038697,131,False,2526,22,0,104,1652709857,,10,6,14,,,0,1.0
6572961143,3,False,2430,22,0,70,1652706962,,3,5,7,,,0,2.0
6570776513,1,True,2934,22,0,106,1652586161,,15,5,21,,,0,2.0
6570731888,131,True,2214,22,0,70,1652582905,,3,7,4,,,0,2.0
6570685067,3,True,2732,22,0,106,1652579132,,22,5,10,,,0,1.0
6569142906,128,False,2668,22,0,106,1652502008,,9,6,26,,,0,1.0
6568327964,129,True,2253,22,0,76,1652453252,,7,10,1,,,0,2.0
6568285490,132,False,1003,22,0,36,1652451777,,3,2,5,,,0,2.0
6568206436,132,True,2531,22,0,106,1652448940,,5,6,9,,,0,2.0
6568085921,128,True,3016,22,0,106,1652444115,,13,4,9,,,0,1.0
6567769523,132,False,1881,22,0,104,1652424380,,8,6,10,,,0,3.0
6567729677,130,False,2922,22,0,106,1652421000,,7,11,18,,,0,3.0
6567703847,131,True,1923,22,0,106,1652418707,,4,7,13,,,0,3.0
6567661701,132,True,3478,22,0,106,1652414732,,11,7,19,,,0,1.0
6567632224,0,True,2260,22,0,106,1652411966,,13,6,24,,,0,1.0
6567135437,0,True,2213,22,0,7,1652374487,,5,6,21,,,0,1.0
6567060895,128,True,2221,22,0,106,1652371257,,5,10,11,,,0,2.0
6342659277,130,False,1829,22,7,98,1640524063,,9,1,6,,,0,1.0
6295579947,131,True,1909,22,7,96,1638068673,,1,9,3,1.0,,0,2.0
